,headline,date,snippet,source,headline_sentiment,snippet_sentiment
105,BRIEF-Albemarle announces pricing of tender offers,10/01/2017,Jan 11 (Reuters) - Albemarle Corp* Albemarle corporation announces,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
106,BRIEF-Albemarle Corp says commenced tender offers to buy all 3.000 pct senior notes due 2019 and 4.500 pct senior notes due 2020,04/01/2017,Jan 4 (Reuters) - Albemarle Corp :* Albemarle Corp- on Jan 4 co due 2019 and4.500 pct senior notes due 2020-sec filing* Albemarle,reuters,0.0|1.0|0.0|0.0,0.0|0.844|0.156|0.5423
107,BRIEF-Albemarle receives final approval to expand lithium operations in Chile,04/01/2017,Jan 4 (Reuters) - Albemarle Corp* Albemarle receives final approval to expand lithiumoperations in Chile* Albemarle Corp - Agreed,reuters,0.0|0.597|0.403|0.6597,0.0|0.634|0.366|0.7579
108,BRIEF-Albemarle price increases for select brominated products,02/12/2016,Dec 2 (Reuters) - Albemarle Corp* Albemarle Corp - Effective Jan 1,reuters,0.0|1.0|0.0|0.0,0.0|0.693|0.307|0.4767
109,"BRIEF-Albemarle - Tianqi to acquire 20% indirect ownership interest in Rockwood Lithium GmbH, units",30/11/2016,Nov 30 (Reuters) - Albemarle Corp* Tianqi has given notice,reuters,0.0|0.8|0.2|0.4588,0.0|1.0|0.0|0.0
110,BRIEF-Albemarle board of directors elects Luke Kissam as chairman,07/11/2016,Nov 7 (Reuters) - Albemarle Corp* Albemarle board of directors,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
111,BRIEF-Albemarle posts Q3 adj. earnings $0.91/shr from continuing operations,07/11/2016,Nov 7 (Reuters) - Albemarle Corp* Albemarle reports third quarter,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
112,"BRIEF-Albemarle signs agreement for exclusive exploration, acquisition rights to lithium resource in Argentina",12/09/2016,Sept 12 (Reuters) - Albemarle Corp :* Albemarle signs agreement,reuters,0.0|0.602|0.398|0.6808,0.0|0.511|0.489|0.7717
113,BRIEF-Albemarle to acquire lithium salts production assets in Asia,23/08/2016,Aug 23 (Reuters) - Albemarle Corp* Albemarle signs definitive agreement to acquire lithiumsalts production assets in Asia* Albemarle,reuters,0.0|0.825|0.175|0.1779,0.0|0.754|0.246|0.5994
114,BRIEF-Albemarle Q2 adjusted EPS $0.93 from cont ops,03/08/2016,Aug 3 (Reuters) - Albemarle Corp* Q2 adjusted earnings per share/B/E/S* Q2 loss per share $2.78 including items* Albemarle exceeds,reuters,0.0|1.0|0.0|0.0,0.112|0.78|0.107|-0.0258
115,Lithium rivals SQM and Albemarle sign environment deal,21/07/2016,"SANTIAGO (Reuters) - SQM and Albemarle's Rockwood, two of the world's",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
116,"BRIEF-S&P Dow Jones indices says Albemarle, Fortive to join S&P 500",23/06/2016,June 23 (Reuters) - S&P Dow Jones Indices:* Albemarle and Fortive set to join the S&P 500* Albemarle Corp will replace Teco Energy Inc,reuters,0.0|0.82|0.18|0.296,0.0|0.83|0.17|0.5106
117,BRIEF-Fitch says Albemarle's planned sale of Chemetall surface treatment business to BASF is neutral to ratings,17/06/2016,June 17 (Reuters) - Fitch Ratings* Fitch says Albemarle's planned,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
118,BASF buys Albemarle's surface treatment business for $3.2 billion,17/06/2016,">, the world's largest chemical producer, is buying Albemarle and divestments during his five years in charge. Albemarle said BASF paid",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
119,Albemarle to sell surface treatment unit to BASF for $3.2 bln,17/06/2016,June 17 (Reuters) - Chemical producer Albemarle Corp said it would,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
120,BRIEF-Albemarle to sell Chemetall Surface Treatment Business to BASF for $3.2 bln,17/06/2016,June 17 (Reuters) - Albemarle Corp:* Albemarle enters for $3.2 billion* Albemarle corp says BofA Merrill lynch is acting,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
121,"BRIEF-Albemarle to name Brian Tessin vice president, tax & chief tax counsel",01/06/2016,June 1 (Reuters) - Albemarle Corp* Albemarle to name Brian Tessin,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
122,Albemarle exploring sale of unit worth $3 billion: Bbg,13/05/2016,"(Reuters) - Lithium producer Albemarle Corp is exploring the sale for Chemetall, the people said.Albemarle hasn't made a final",reuters,0.0|0.808|0.192|0.2263,0.0|1.0|0.0|0.0
123,Albemarle exploring sale of unit worth $3 bln - Bbg,13/05/2016,"May 13 (Reuters) - Lithium producer Albemarle Corp is exploring options for Chemetall, the people said.Albemarle hasn't made a final",reuters,0.0|0.808|0.192|0.2263,0.0|1.0|0.0|0.0
124,BRIEF-Albemarle said to explore sale of $3 bln surface-treatment unit- Bloomberg,13/05/2016,May 13 (Reuters) -* Albemarle Corp said to explore sale of $3 Corp has been hired to help Albemarleconsider strategic options,reuters,0.0|1.0|0.0|0.0,0.0|0.881|0.119|0.4019
125,"BRIEF-Albemarle names Karen Narwold executive VP, chief administrative officer",13/05/2016,May 13 (Reuters) - Albemarle Corp* Albemarle names Karen Narwold executive vice president andchief administrative officer* Albemarle,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
126,BRIEF-Albemarle sets quarterly dividend of $0.305/share,10/05/2016,May 10 (Reuters) - Albemarle Corp :* Sets quarterly dividend,reuters,0.0|1.0|0.0|0.0,0.0|0.696|0.304|0.5423
127,BRIEF-Albemarle names David Ryan treasurer,10/05/2016,May 10 (Reuters) - Albemarle Corp :* Albemarle names David Ryan,reuters,0.0|0.727|0.273|0.128,0.0|0.72|0.28|0.5423
128,BRIEF-Albemarle sees 2016 adjusted earnings per share $3.90-$4.25,10/05/2016,May 10 (Reuters) - Albemarle Corp* Lithium and advanced materials%* Albemarle corp says reported free cash flow is expected torange,reuters,0.0|0.761|0.239|0.296,0.0|0.762|0.238|0.6486
129,Chemicals firm SQM asks Chile to block Albemarle lithium project,05/05/2016,producer Albemarle Corp from expanding production in the South American after Albemarle's Rockwood unit signed a deal with Chilean economic,reuters,0.244|0.756|0.0|-0.4404,0.0|1.0|0.0|0.0
130,BRIEF-Albemarle to discontinue production of HBCD-based flame retardants,04/05/2016,May 4 (Reuters) - Albemarle Corp* Albemarle to discontinue,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
131,BRIEF-Albemarle says CFO resumes duties following temporary medical leave of absence,12/04/2016,April 12 (Reuters) - Albemarle Corp* Albemarle CFO resumes duties leave of absence* Albemarle says Scott Tozier has resumed management,reuters,0.107|0.893|0.0|-0.0516,0.062|0.938|0.0|-0.0516
132,U.S. lithium firm Albemarle plans to more than double Chile output,02/02/2016,"SANTIAGO, Feb 2 (Reuters) - U.S. lithium producer Albemarlehas batteries is heating up.Albemarle Corp unit Rockwood will invest between$400",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
133,Four people injured in Texas plant of Albemarle - report,02/10/2015,"in a small explosion at the Pasadena, Texas plant ofAlbemarle Corp, according to a local media report.The Pasadena plant of Albemarle",reuters,0.252|0.748|0.0|-0.4019,0.0|1.0|0.0|0.0
