idx,headline,date,snippet,source
161,Energy Department Targets Vastly Cheaper Batteries to Clean Up the Grid,14/07/2021,The Biden administration's push for more wind and solar power poses big challenges. New types of energy storage could help — but only if they get much cheaper.,The New York Times
162,The Energy Department aims for cheaper batteries to make clean energy more viable.,14/07/2021,,The New York Times
163,Can Silicon Valley Find God?,16/07/2021,Artificial intelligence promises to remake the world. These believers are fighting to make sure thousands of years of text and tradition find a place among the algorithms.,The New York Times
164,A Renewal for IBM Campuses Once Home to Punch Cards and Circuit Boards,20/07/2021,When Big Blue left upstate New York economic pain ensued. But the large complexes left behind are ideally suited for large-scale production and shipping local officials say.,The New York Times
165,Toyota Led on Clean Cars. Now Critics Say It Works to Delay Them.,25/07/2021,The auto giant bet on hydrogen power but as the world moves toward electric the company is fighting climate regulations in an apparent effort to buy time.,The New York Times
166,The Mighty Pickup Slims Down,08/09/2021,Small trucks from Ford and Hyundai are joining a growing field of electric models as America’s go-to vehicle adapts to an evolving market.,The New York Times
167,Your Batteries Are Due for Disruption,08/09/2021,This week a more efficient type of battery arrives in a wristband fitness tracker. It could soon reach smart glasses cars and even aircraft.,The New York Times
168,Building a More Sustainable Car From Headlamp to Tailpipe,09/09/2021,Vehicle makers shy away from traditional materials that are hard to recycle like leather and plastics and look to repurpose alternatives that still convey quality.,The New York Times
169,Fears of a ‘bottleneck recession’: How shortages are hurting Germany.,05/10/2021,,The New York Times
170,Tesla’s quarterly profit nearly quintuples to $1.6 billion as car sales surge.,20/10/2021,The automaker also reported a big jump in revenue to $13.8 billion from $8.8 billion a year ago as sales of the Model Y continue to rise.,The New York Times
171,In Australia It’s ‘Long Live King Coal’,21/10/2021,The country has fallen behind other developed nations in its commitment to slashing carbon emissions. Neither fires nor international pressure has pushed it away from coal and other fossil fuels.,The New York Times
172,Climate Change Poses a Widening Threat to National Security,21/10/2021,Intelligence and defense agencies issued reports warning that the warming planet will increase strife between countries and spur migration.,The New York Times
173,How Can the Watch Industry Be Greener?,01/11/2021,Ten observers offer their recommendations from limiting promotional travel to downsizing those lavish presentation boxes.,International New York Times
174,The Popularity of E-Bikes Isn’t Slowing Down,08/11/2021,Motorized bicycles are outselling all-electric cars and have the potential to transform urban transit.,The New York Times
175,6 Automakers and 30 Countries Say They’ll Phase Out Gasoline Car Sales,10/11/2021,Ford G.M. and Mercedes agreed to work toward selling only zero-emissions vehicles by 2040. But Toyota Volkswagen and Nissan-Renault did not join the pledge.,The New York Times
176,America Isn’t Ready for the Electric-Vehicle Revolution,10/11/2021,Its battery supply chain runs through China and that’s not changing any time soon.,The New York Times
177,Can Hydrogen Save Aviation’s Fuel Challenges? It’s Got a Way to Go.,15/11/2021,Small experimental hydrogen-powered planes are paving the way for net-zero carbon aviation by 2050. But the route is rocky.,The New York Times
178,How Are Electric Vehicle Batteries Made?,20/11/2021,The worldwide shift to electric vehicles is critical in the fight against climate change. Here's how the most important part of these cars is made.,The New York Times
179,A Power Struggle Over Cobalt Rattles the Clean Energy Revolution,20/11/2021,The quest for Congo’s cobalt which is vital for electric vehicles and the worldwide push against climate change is caught in an international cycle of exploitation greed and gamesmanship.,The New York Times
180,How the U.S. Lost Ground to China in the Contest for Clean Energy,21/11/2021,Americans failed to safeguard decades of diplomatic and financial investments in Congo where the world’s largest supply of cobalt is controlled by Chinese companies backed by Beijing.,The New York Times
181,On the Banks of the Furious Congo River a 5-Star Emporium of Ambition,07/12/2021,As the clean energy revolution upends the centuries-long lock of fossil fuels on the global economy dealmakers and hustlers converge on the Fleuve Congo Hotel.,The New York Times
182,South Korea Has Long Wanted Nuclear Subs. A New Reactor Could Open a Door.,13/12/2021,The country plans to build a small modular reactor for marine propulsion raising questions of whether it eventually intends to develop a nuclear submarine despite a U.S. treaty.,The New York Times
183,You Can Build an Ebike. Yes You.,16/12/2021,Just like regular bikes electric bikes experienced a pandemic boom giving more people an alternative way of commuting picking up the kids or just getting outside. But you might already have a functioning bike and wonder if you need to invest i...,Wirecutter
184,Green-Energy Race Draws an American Underdog to Bolivia’s Lithium,16/12/2021,Chinese and Russian industrial giants seek to tap mineral deposits vital to electric cars. A Texas entrepreneur has his own strategy: the long game.,The New York Times
185,Why a Chinese Company Dominates Electric Car Batteries,22/12/2021,Beijing gave CATL lavish subsidies a captive market of buyers and soft regulatory treatment helping it to control a crucial technology of the future.,The New York Times
186,How China Makes Electric Car Batteries,22/12/2021,Everyone knows the biggest winner from electric cars: Tesla. Few outside the auto industry know the other big winner: the battery maker CATL.,The New York Times
187,In Congo Bolivia and Beyond Where the Green Future Begins,26/12/2021,The Times’s Race to the Future series is focused on the competition for electric-car resources that will shape the 21st century.,The New York Times
188,As Miners Chase Clean-Energy Minerals Tribes Fear a Repeat of the Past,27/12/2021,Mining the minerals that may be needed for a green energy revolution could devastate tribal lands. The Biden administration will be forced to choose.,The New York Times
189,Chile Writes a New Constitution Confronting Climate Change Head On,28/12/2021,Chile has lots of lithium which is essential to the world’s transition to green energy. But anger over powerful mining interests a water crisis and inequality has driven Chile to rethink how it defines itself.,The New York Times
190,Can a Tiny Territory in the South Pacific Power Tesla’s Ambitions?,30/12/2021,Nickel is vital to electric car batteries but extracting it is dirty and destructive. A plant with a turbulent history in New Caledonia is about to become an experiment in doing it better.,The New York Times
191,Mining of Lithium Key to the Climate Fight Faces New Scrutiny in Chile,06/01/2022,Politicians have called for a pause in new mining contracts for lithium which is in high demand for electric car batteries but is at the heart of a debate in Chile over mines water rights and inequality.,The New York Times
192,‘Miserable and Dangerous’: A Failed Chinese Promise in Serbia,23/01/2022,Poor conditions for Vietnamese workers building a $900 million tire factory underscore a chasm between the promise of investment from China and grim realities on the ground.,The New York Times
193,Why This Could Be a Critical Year for Electric Cars,08/02/2022,Booming in a depressed market battery-powered vehicles are a plus for the climate but pose a big threat to carmakers and parts suppliers that are slow to change.,The New York Times
194,The West’s Delusion of Energy Independence,22/02/2022,America must secure the raw materials that a clean energy future requires. ,The New York Times
195,The Economic Stakes of the Ukraine Crisis,22/02/2022,The global implications of the escalating conflict remain hard to figure.,The New York Times
196,The U.S. is planning to boost supply of minerals needed for electric vehicles.,22/02/2022,The White House effort is part of a push to reduce America’s dependence on foreign products particularly those from China.,The New York Times
197,Ukraine and the Mirage of Energy Independence,25/02/2022,Domestic oil and gas production in the U.S. boomed in recent years. But the country and its allies remain reluctant to impose sanctions on Russian energy that would damage their economies.,The New York Times
198,After Burning for Days a Ship Carrying Thousands of Luxury Cars Sinks,01/03/2022,The ship the Felicity Ace was carrying about 4000 vehicles including Bentleys and Porsches when it caught fire on Feb. 16. On Tuesday morning it sank.,The New York Times
199,Fitbit recalls more than one million smart watches over a burn risk.,02/03/2022,The company which is owned by Google received at least 174 reports of the battery in its Ionic smart watch overheating leading to 118 reported injuries.,The New York Times
200,Ford Splits Into Electric and Gas Divisions to Speed Up Transition,02/03/2022,E.V. operations will focus on technology and growth while the traditional business continues to chase profits. “You can’t have people work on both at the same time” the chief executive said.,The New York Times
201,Before Invasion Ukraine’s Lithium Wealth Was Drawing Global Attention,02/03/2022,Chinese and Australian investors had been lining up to explore for lithium a metal that is critical to batteries and the world’s transition to clean energy.,The New York Times
202,What Putin’s war could mean for fossil fuels,04/03/2022,Also in this edition of the newsletter: A map that shows imperiled biodiversity in the lower 48 states.,The New York Times
203,Car Industry Woes Show How Global Conflicts Will Reshape Trade,07/03/2022,The war in Ukraine has highlighted the risks of doing business with authoritarian countries — not just Russia but also China.,The New York Times
204,Carmakers Race to Control Next-Generation Battery Technology,07/03/2022,The prize: batteries that would be cheaper faster to charge and less vulnerable to raw material shortages. Whoever gets there first will have a major advantage.,The New York Times
205,Rivian Pares Delivery Targets for 2022 Citing Supply Problems,10/03/2022,The company said it expected to produce only 25000 electric vehicles this year adding a new cloud to its outlook only months after a hot I.P.O.,The New York Times
206,Frustrated With Utilities Some Californians Are Leaving the Grid,13/03/2022,Citing more blackouts wildfires and higher electricity rates a growing number of homeowners are choosing to build homes that run entirely on solar panels and batteries.,The New York Times
207,How an Electric Truck Factory Became a Lightning Rod in Georgia,14/03/2022,The governor hailed the factory as an economic boon that would put Georgia at the vanguard of the green economy. Not everyone liked the idea.,The New York Times
208,How the War in Ukraine Could Slow the Sales of Electric Cars,18/03/2022,The price of nickel an essential ingredient in most batteries has soared because of fear that Russian supplies could be cut off.,The New York Times
209,Biden Invokes Cold War Statute to Boost Critical Mineral Supply,31/03/2022,The action aims to enhance American production of crucial materials for electric vehicles defense systems and other technologies.,The New York Times
210,Stopping Climate Change Is Doable but Time Is Short U.N. Panel Warns,04/04/2022,A major new scientific report offers a road map for how countries can limit global warming but warns that the margin for error is vanishingly small.,The New York Times
211,Koch Industries’ Bet on Batteries,06/04/2022,The company is plugging $30 million into a start-up co-founded by one of Silicon Valley’s favorite scientists.,The New York Times
212,Hyundai’s Ioniq 5 Nods to Past While Pushing Toward E.V. Future,07/04/2022,For now supply may be constrained but Hyundai is putting a big bet on building electrics for the American market.,The New York Times
213,Truck Makers Face a Tech Dilemma: Batteries or Hydrogen?,11/04/2022,Under pressure to cut emissions truck manufacturers are choosing between batteries and hydrogen fuel cells. Wagering incorrectly could cost them billions of dollars.,The New York Times
214,Jim Farley Tries to Reinvent Ford and Catch Up to Elon Musk and Tesla,18/04/2022,Ford’s chief executive is about to introduce an electric F-150 pickup truck that could determine whether the automaker can survive and thrive in an industry dominated by Tesla.,The New York Times
215,The Next Hurdle in Europe’s Energy Transition: Being More Enticing Than NFTs,18/04/2022,Financing the next generation of green energy technologies means larger investments and getting venture capitalists to turn their attention away from “fast money.”,The New York Times
216,Tesla’s profits jumped in the first quarter but challenges loom.,20/04/2022,The electric carmaker had to close an important factory in Shanghai because of China’s efforts to stamp out a coronavirus outbreak.,The New York Times
217,Biden Administration Begins $3 Billion Plan for Electric Car Batteries,02/05/2022,The Biden administration is planning a major shift to electric vehicles but experts say it requires a secure resilient supply of critical minerals.,The New York Times
218,Who Will Profit From Saving Scotland’s Bogs?,05/05/2022,Repairing the country’s extensive peatlands could help the world mitigate climate change. It could also make a fast-fashion billionaire even richer.,The New York Times
219,Hurdle to Broad Adoption of E.V.s: The Misperception They’re Unsafe,05/05/2022,Fully electric vehicles have fewer fires than gasoline-powered and hybrid cars and their crash protection is at least equivalent.,The New York Times
220,What Students Are Saying About Responsibility Bad Behavior in Youth Sports and Electric Cars,05/05/2022,Teenage comments in response to our recent writing prompts and an invitation to join the ongoing conversation.,The New York Times
221,We Can’t Drill Our Way to Energy Security,14/05/2022,Investing in clean energy efficiency and electrification is the only path to get us there.,The New York Times
222,Stocks Have Been Falling. I’m Still Buying Steadily.,19/05/2022,Is this is a good time to buy stocks readers ask? Yes our columnist says but only if you can handle further losses and don’t try to outsmart the market.,The New York Times
223,An Artist Comfortable in Any Medium Even Lithium,03/06/2022,Lydia Ourahmane creates sprawling installations that challenge geopolitical borders.,The New York Times
224,Red Flags for Forced Labor Found in China’s Car Battery Supply Chain,20/06/2022,Ties to potentially coercive labor practices could prove a problem for an industry that is heavily dependent on China once a new law barring Xinjiang products goes into effect.,The New York Times
225,More Than 400000 Solar-Powered Umbrellas Recalled Over Fire Risk,26/06/2022,The U.S. Consumer Product Safety Commission recalled the umbrellas which were sold at Costco because of the risk of lithium-ion batteries overheating.,The New York Times
