,headline,date,snippet,source,headline_sentiment,snippet_sentiment
122,"Standard Lithium, Lanxess mull Arkansas lithium joint venture",12/11/2018,for the joint venture to commercially develop the lithium project.Albemarle,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
123,Albemarle freezes Chile expansion plans in wake of lithium tech scrutiny,08/11/2018,Nov 8 (Reuters) - Albemarle Corp's chief executiveofficer.Albemarle said it will stop engineering work on its plannedLa Negra V,reuters,0.099|0.901|0.0|-0.0258,0.128|0.872|0.0|-0.296
124,Albemarle profit rise beats forecasts on lithium price hikes,07/11/2018,By Ernest Scheyder(Reuters) - Albemarle Corp  has,reuters,0.0|0.734|0.266|0.4404,0.0|1.0|0.0|0.0
125,Albemarle quarterly profit up 9 pct on lithium price hikes,07/11/2018,"Nov 7 (Reuters) - Albemarle Corp, the world'slargest lithium share, in the year-ago period.Albemarle confirmed its full-year 2018",reuters,0.0|0.734|0.266|0.4404,0.0|0.872|0.128|0.296
126,Albemarle's claim to unique lithium technology draws scrutiny,07/11/2018,(Reuters) - Albemarle Corp's  claim to have developed. The development could help Albemarle cement its position as the world's,reuters,0.0|1.0|0.0|0.0,0.0|0.863|0.137|0.4019
127,Chilean court rejects lawsuit to block SQM stake sale to Tianqi,25/10/2018,"Lithium, a joint venture with No. 1 lithium producer Albemarle",reuters,0.5|0.5|0.0|-0.7906,0.239|0.761|0.0|-0.296
128,A water fight in Chile's Atacama raises questions over lithium mining,19/10/2018,"-based Albemarle Corp and Chile's SQM operate just 3 miles (5 km) apart of that agreement,” which ends in 2043, Albemarle CEO Luke Kissam",reuters,0.224|0.776|0.0|-0.3818,0.0|1.0|0.0|0.0
129,INSIGHT-A water fight in Chile's Atacama raises questions over lithium mining,18/10/2018,", the world's driest desert.U.S.-based Albemarle Corp and Chile's SQM operate and throughout the term of that agreement,”which ends in 2043, Albemarle CEO",reuters,0.206|0.794|0.0|-0.3818,0.0|1.0|0.0|0.0
130,Chile to seek international arbitration over Albemarle contract,17/10/2018,"of lithium miner Albemarle Corp to adhere to the terms of a contract drawn up in 2016. Under the contract, U.S.-based Albemarle had",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
131,Chilean gov't to seek international arbitration over Albemarle contract,17/10/2018,was the failure of lithium miner Albemarle Corpto adhere to the terms Albemarle had failedto reply to an agreement to supply a preferential,reuters,0.0|1.0|0.0|0.0,0.125|0.755|0.121|-0.0258
132,"RPT-EXPLAINER-What's next as Tianqi, SQM face off in Chile court",13/10/2018,"in a joint venture with No. 1 lithiumproducer Albemarle Corp would allow Albemarle, a close neighbor inChile's lithium-rich Salar de",reuters,0.0|1.0|0.0|0.0,0.115|0.785|0.099|-0.0772
133,"Explainer: What's next as Tianqi, SQM face off in Chile court",12/10/2018,"lithium producer Albemarle Corp in Australia, where together they own concerned that Tianqi's relationship would allow Albemarle, a close",reuters,0.0|1.0|0.0|0.0,0.0|0.899|0.101|0.2263
134,"EXPLAINER-What's next as Tianqi, SQM face off in Chile court",12/10/2018,"Albemarle Corp in Australia, where togetherthey own the world's biggest thatTianqi's relationship would allow Albemarle, a close neighbor inChile's",reuters,0.0|1.0|0.0|0.0,0.0|0.899|0.101|0.2263
135,Chilean court freezes sale of stake in lithium giant SQM to Tianqi,11/10/2018,"with No. 1 lithium producer Albemarle Corp in Australia, where they own, lithium-related deal struck with either SQM or Albemarle.Chile's",reuters,0.091|0.909|0.0|-0.0258,0.198|0.802|0.0|-0.4939
136,"Livent drops in IPO on lithium concerns, CEO sees spiking demand",11/10/2018,said.Livent's IPO is being watched by rival Albemarle Corp,reuters,0.13|0.87|0.0|-0.128,0.0|1.0|0.0|0.0
137,SQM controlling shareholder moves to block stake sale to China's Tianqi,10/10/2018,"lithium producer Albemarle.Prior to its approval, SQM had objected",reuters,0.225|0.775|0.0|-0.4404,0.0|0.721|0.279|0.4767
138,Chile studying possible lithium trade on LME -mines minister,10/10/2018,by the stateand its sole miners are SQM and Albemarle.The Chilean state,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
139,Albemarle shares drop after Chile rejects hike in lithium quota,08/10/2018,) - Shares of Albemarle Corp  fell as much as 2.3 percent Albemarle's March request to increase its quota to sell lithium products,reuters,0.366|0.483|0.152|-0.4767,0.0|0.809|0.191|0.5423
140,Albemarle shares drop after media report on Chile lithium quota,08/10/2018,"Oct 8 (Reuters) - Shares of Albemarle Corp fell morethan 2 percent) refused toboost Albemarle’s production quota, even after",reuters,0.171|0.65|0.179|0.0258,0.12|0.761|0.12|0.0
141,Chile regulator refuses to raise Albemarle lithium output quota: newspaper,06/10/2018,"Albemarle Corp, which had already gotten approval for an increase from a request from Albemarle ""for an increase of 258,446 metric tons",reuters,0.0|1.0|0.0|0.0,0.0|0.7|0.3|0.7717
142,Chile regulator refuses to raise Albemarle lithium output quota -newspaper,06/10/2018,"Albemarle Corp, which had already gottenapproval for an increase from.Following a request from Albemarle ""for an increase of258,446 metric",reuters,0.0|1.0|0.0|0.0,0.0|0.777|0.223|0.5574
143,"China's Tianqi can buy stake in lithium firm SQM, rules Chile court",04/10/2018,"or rival Albemarle.In a statement, Tianqi said the deal ensured",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
144,REFILE-Chile weighs arbitration with top lithium producer Albemarle,03/10/2018,"within a week whether to take top producerAlbemarle Corp to arbitration, said Albemarle has failed to reply to questionsabout a contract",reuters,0.0|0.795|0.205|0.2023,0.149|0.769|0.081|-0.3612
145,"METALS-Shanghai aluminium slips, heads for worst month since March",27/09/2018,"* LITHIUM: Albemarle Corp, the world's largestlithium producer, aims",reuters,0.339|0.661|0.0|-0.6249,0.0|1.0|0.0|0.0
146,Albemarle eyes future as pure-play lithium market leader,27/09/2018,"By Ernest ScheyderSept 27 (Reuters) - Albemarle Corp, the world's.Albemarle's lithium earnings have jumped nearly six-foldsince 2014 to more",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
147,Foreign-backed miner hopes to begin Chilean lithium project in 2020,27/09/2018,with localminers SQM and Albemarle in order to offer apreferential,reuters,0.0|0.763|0.237|0.4215,0.0|1.0|0.0|0.0
148,Solid demand to underpin lithium as price slides in 2018,17/09/2018,"://reut.rs/2NMny9dShares in lithium producers such as Albemarle and SQM in Albemarle and SQM, which together churn out 37 percent of the world's",reuters,0.135|0.721|0.144|0.0258,0.0|1.0|0.0|0.0
149,GRAPHIC-Solid demand to underpin lithium as price slides in 2018,17/09/2018,"in lithium producers such as Albemarle andSQM,, and Japan's Jiangxi licences.Shares in Albemarle and SQM, which together churn out 37",reuters,0.143|0.857|0.0|-0.128,0.0|1.0|0.0|0.0
150,"Chilean lawmakers study extra tax for copper, lithium mines",14/09/2018,"Plc, Anglo American Plc,Antofagasta Plc, SQM SA and Albemarle Corp",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
151,Chile's lithium miner SQM asks court to reject Tianqi agreement,13/09/2018,witheither SQM or top-competitor Albemarle.The FNE said it believed,reuters,0.194|0.576|0.23|0.128,0.0|1.0|0.0|0.0
152,Chilean regulator says agreement reached with Tianqi on SQM stake sale,08/09/2018,"Albemarle.""The measures agreed uponare intended to limit Tianqi's access",reuters,0.0|0.662|0.338|0.5574,0.0|0.792|0.208|0.2732
153,Exclusive: Lithium producer Albemarle eyes buying rival if IPO stumbles - source,05/09/2018,By Ernest Scheyder(Reuters) - Albemarle Corp  seeks to tap,reuters,0.0|0.87|0.13|0.128,0.0|1.0|0.0|0.0
154,RPT-FOCUS-Inside Albemarle's quest to reinvent the lithium market,30/08/2018,") - As global demand for lithium hitsoverdrive, Albemarle Corp storage and increase a battery's charge,shaping Albemarle's strategy",reuters,0.0|1.0|0.0|0.0,0.089|0.774|0.137|0.2023
155,Inside Albemarle's quest to reinvent the lithium market,30/08/2018,"overdrive, Albemarle Corp is investing millions of dollars to engineer, shaping Albemarle's strategy, according to sources and documents",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
156,FOCUS-Inside Albemarle's quest to reinvent the lithium market,30/08/2018,"hitsoverdrive, Albemarle Corp is investing millions ofdollars charge,shaping Albemarle's strategy, according to sources",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
157,"In Chilean desert, global thirst for lithium is fueling a 'water war'",29/08/2018,the operations of top lithium producers SQM and Albemarle that would allow the government to further restrict water use there.SQM and Albemarle,reuters,0.281|0.719|0.0|-0.5994,0.103|0.751|0.146|0.0258
158,"REFILE-In Chilean desert, global thirst for lithium is fueling a 'water war'",29/08/2018,of top lithium producers SQM andAlbemarle that would allow the government to further restrictwater use there.SQM and Albemarle say they have,reuters,0.281|0.719|0.0|-0.5994,0.0|0.837|0.163|0.4019
159,POSCO buys lithium mining rights in Argentina from Australia's Galaxy,27/08/2018,Lithium and Albemarle Corp have mixed views on the outlook for near,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
160,Chile's SQM expects lithium prices to dip in second half,24/08/2018,"rival Albemarle operate, along with major coppermines.Solminihac said that it would overtake Albemarleas the world's top producer of lithium by 2022",reuters,0.0|1.0|0.0|0.0,0.0|0.917|0.083|0.2023
161,Exclusive: Chile says to clamp down on water rights in lithium-rich Salar de Atacama,23/08/2018,"Albemarle and SQM , the head of the country's water, adjacent to the operations of SQM and Albemarle.""Once we've created",reuters,0.0|0.897|0.103|0.128,0.0|0.9|0.1|0.25
162,"Peru president expects lithium, uranium mining laws passed in 6 months",10/08/2018,"Albemarle Corp, to Peru.Vizcarra, a former governor of a small copper",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
163,Chile's SQM says to overtake Albemarle as world's top lithium producer by 2022,08/08/2018,on Wednesday it would overtake competitor Albemarle as the world's top to 28 percent of the world's total versus the U.S.-based Albemarle's 16,reuters,0.0|0.87|0.13|0.2023,0.0|0.924|0.076|0.2023
164,Albemarle boosts stock buyback to $500 million; shares jump,08/08/2018,"By Ernest Scheyder(Reuters) - Albemarle Corp, the world's largest a day after Albemarle reported that its quarterly earnings had",reuters,0.0|0.609|0.391|0.5423,0.0|1.0|0.0|0.0
165,Albemarle quarterly profit nearly triples on strong lithium sales,07/08/2018,"(Reuters) - Albemarle Corp, the world's largest producer of lithium cents per share, in the year-ago quarter.For the full year, Albemarle",reuters,0.0|0.53|0.47|0.7351,0.0|0.896|0.104|0.296
166,Chile lithium exports more than double in July from previous year,07/08/2018,"of the year, according to the bank's data.Top lithium producers Albemarle",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
167,Battery boom skeptics seen driving short holdings in lithium miners,03/08/2018,"in lithium miners SQM, Albemarle, Galaxy and Orocobre has ballooned. (Graphic: Short holdings in Albemarle double - https://reut.rs",reuters,0.135|0.865|0.0|-0.1027,0.0|1.0|0.0|0.0
168,GRAPHIC-Battery boom sceptics seen driving short holdings in lithium miners,03/08/2018,"of shares inlithium miners SQM, Albemarle, Galaxyand Orocobre has ballooned positions in New York-listedAlbemarle totalling around $1 billion.""Galaxy",reuters,0.159|0.841|0.0|-0.1779,0.0|0.885|0.115|0.296
169,FMC says lithium pricing rising on strong electric car demand,02/08/2018,"FMC, like competitor AlbemarleCorp, has annual contracts",reuters,0.117|0.625|0.258|0.4215,0.0|0.706|0.294|0.3612
170,Chile says lithium miner Albemarle slow to respond on contract details,30/07/2018,government said on Monday that lithium miner Albemarle had been slow.The contract allows Albemarle to produce lithium on land owned,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
171,CORRECTED-CEO of Chilean lithium miner SQM resigns,26/07/2018,lithium mining in Chile.U.S. firm Albemarle Corp said John Mitchell,reuters,0.277|0.723|0.0|-0.3182,0.0|1.0|0.0|0.0
172,CORRECTED-Outgoing Albemarle executive to join Chilean cobalt miner,26/07/2018,"said on Wednesday that it hired outgoing AlbemarleCorp executive John Albemarle's lithium business since2015, will join Genlith's Chilean",reuters,0.0|0.761|0.239|0.296,0.0|0.784|0.216|0.5267
173,Tianqi board backs major expansion at Australian lithium mine,25/07/2018,"-based Albemarle Corp, said on Wednesday that work on the expansion percent by Albemarle, holds the lithium rights.GAM fears",reuters,0.13|0.87|0.0|-0.0516,0.135|0.865|0.0|-0.4215
174,Exclusive: Albemarle lithium chief to exit at end of July - memo,24/07/2018,By Ernest Scheyder(Reuters) - The Albemarle Corp executive. Mitchell did not immediately respond to a request for comment.Albemarle,reuters,0.0|0.87|0.13|0.128,0.0|1.0|0.0|0.0
175,Fiat Chrysler loses another executive after Marchionne illness,23/07/2018,"investment officer at London-based Albemarle Asset Management. ""We",reuters,0.455|0.545|0.0|-0.6124,0.0|0.737|0.263|0.3612
176,Fiat Chrysler names Jeep boss to replace stricken CEO Marchionne,21/07/2018,"investment officer at London-based Albemarle Asset Management, said",reuters,0.268|0.732|0.0|-0.5106,0.0|0.737|0.263|0.3612
177,Foreign-backed miner drops lawsuit against Chile for control of lithium deposit,10/07/2018,"the expansive Salar de Atacama, where top lithium producers Albemarle",reuters,0.16|0.84|0.0|-0.2263,0.0|0.833|0.167|0.2023
178,CORRECTED-Foreign-backed miner drops lawsuit against Chile for control of lithium deposit,10/07/2018,"Atacama, where top lithiumproducers Albemarle and Chile's SQMrule",reuters,0.16|0.84|0.0|-0.2263,0.0|0.795|0.205|0.2023
179,Tantalum miner threatens expansion at Australia's biggest lithium mine,25/06/2018,"Lithium, and U.S.-based Albemarle Corp, owns only the lithium rights at Greenbushes. Tianqi and Albemarle hold 51 percent and 49 percent",reuters,0.245|0.755|0.0|-0.3818,0.0|1.0|0.0|0.0
180,Tantalum producer Global Advanced Metals says trial dates with Talison Lithium set,24/06/2018,"Albemarle Corp hold 51percent and 49 percent of Talison, respectively",reuters,0.0|0.846|0.154|0.25,0.0|0.789|0.211|0.34
181,"U.S. electric car sector, wary of China, seeks more domestic lithium",12/06/2018,"The company declined to be identified.Albemarle Corp, the world's",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
182,Chile creates committee to oversee lithium contracts,11/06/2018,"miner SQM and U.S.-based Albemarle Corp., deals that are key Corfo has with SQM  and Albemarle Corp",reuters,0.0|0.741|0.259|0.2732,0.0|1.0|0.0|0.0
183,Chile high court declines to weigh in on lithium spat at Maricunga,23/05/2018,"innorthern Chile, home to top lithium producers Albemarleand SQM , but Salar",reuters,0.0|1.0|0.0|0.0,0.0|0.877|0.123|0.1027
184,RPT-CORRECTED-Private firm takes on Codelco for control of Chile lithium deposit,15/05/2018,", where top lithiumproducers Albemarle and Chile's SQMrule supreme",reuters,0.0|1.0|0.0|0.0,0.0|0.526|0.474|0.6597
185,Private firm takes on Codelco for control of Chile lithium deposit,15/05/2018,"the expansive Salar de Atacama, where top lithium producers Albemarle",reuters,0.0|1.0|0.0|0.0,0.0|0.833|0.167|0.2023
186,CORRECTED-Private firm takes on Codelco for control of Chile lithium deposit,15/05/2018,", where top lithiumproducers Albemarle and Chile's SQMrule supreme",reuters,0.0|1.0|0.0|0.0,0.0|0.526|0.474|0.6597
187,BRIEF-Albemarle Says Entered Agreements Relating To An Uncollared Accelerated Share Repurchase Program,14/05/2018,"May 14 (Reuters) - Albemarle Corp:* ALBEMARLE CORP - ON MAY 11 REPURCHASE PROGRAM - SEC FILING* ALBEMARLE - PURSUANT TO TERMS, WILL PURCHASE",reuters,0.0|0.699|0.301|0.5106,0.0|1.0|0.0|0.0
188,BRIEF-Albemarle new brine extraction technology on track - CEO,10/05/2018,May 10 (Reuters) - Albemarle Corp:* ALBEMARLE SEES INCREASE IN SOLID,reuters,0.0|1.0|0.0|0.0,0.0|0.599|0.401|0.656
189,BRIEF-Albemarle lithium customers push for longer contracts - CEO,10/05/2018,May 10 (Reuters) - Albemarle Corp:* ALBEMARLE CORP CONTINUES TO SEE KISSAM* ALBEMARLE LITHIUM EXPANSION PLAN NOT ABOUT MARKET SHAREGAIN,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
190,BRIEF-Albemarle Reports Q1 EPS $1.18,09/05/2018,May 9 (Reuters) - Albemarle Corp:* ALBEMARLE CONTINUES DOUBLE DIGIT,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
191,BRIEF-Albemarle And Dupont Announce Collaboration In Hydroprocessing,24/04/2018,"April 24 (Reuters) - Albemarle Corp:* ALBEMARLE AND DUPONT ANNOUNCE COLLABORATION INHYDROPROCESSING* ALBEMARLE - CO, DUPONT ANNOUNCE",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
192,BRIEF-Albemarle Declares Force Majeure On Shortage Of Key Raw Materials In Urethane Supply Chain,19/04/2018,April 19 (Reuters) - Albemarle Corp:* ALBEMARLE DECLARES FORCE* ALBEMARLE CORP - DOES NOT EXPECT FORCE MAJEURE TO AFFECTPREVIOUSLY,reuters,0.133|0.867|0.0|-0.25,0.0|1.0|0.0|0.0
193,BRIEF-Albemarle Corp Announces Appointment Of Glen Merfeld As Chief Technology Officer For Lithium Business,16/04/2018,April 16 (Reuters) - Albemarle Corp:* ALBEMARLE CORPORATION,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
194,China's Tianqi alleged errors in Chile effort to block SQM stake - papers,07/04/2018,"after Albemarle , would control 70 percent of the world",reuters,0.346|0.654|0.0|-0.6486,0.0|1.0|0.0|0.0
195,"As China ties up global lithium, Asian rivals must bet big on South America",06/04/2018,"Albemarle , the country's two biggest producers. ""Why stick production quotas for SQM and Albemarle and more recently, state miner Codelco",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
196,China miner Tianqi meets with Chilean anti-trust prosecutor on SQM,04/04/2018,"-based Albemarle Corp, would control 70 percent of the global lithium",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
197,BRIEF-Albemarle Completes Sale Of Portion Of Performance Catalysts Solutions To W. R. Grace & Co,03/04/2018,April 4 (Reuters) - Albemarle Corp:* ALBEMARLE COMPLETES SALE,reuters,0.0|0.727|0.273|0.5423,0.0|1.0|0.0|0.0
198,BRIEF-Albemarle Corp Says CEO Luther Kissam's FY 2017 Total Compensation Was $8.5 Mln,28/03/2018,March 28 (Reuters) - Albemarle Corp:* ALBEMARLE CORP SAYS CEO LUTHER,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
199,RPT-Tiny Chilean regulator thrust into global lithium battle,21/03/2018,"lithiumproducer after U.S.-based Albemarle Corp, would control70",reuters,0.271|0.729|0.0|-0.3818,0.0|1.0|0.0|0.0
200,Tiny Chilean regulator thrust into global lithium battle,20/03/2018,"-based Albemarle Corp, would control 70 percent of the global lithium",reuters,0.271|0.729|0.0|-0.3818,0.0|1.0|0.0|0.0
201,New Chile govt undecided on blocking SQM sale to China firms -official,16/03/2018,"-biggest lithium producer afterU.S.-based Albemarle Corp, would",reuters,0.31|0.69|0.0|-0.5423,0.0|1.0|0.0|0.0
202,RPT-EXPLAINER-Chile attempts to block China from prize lithium asset,14/03/2018,", the world's second biggest lithiumproducer after U.S.-based Albemarle venture with Albemarle in Australia where they ownthe world's biggest",reuters,0.197|0.408|0.395|0.4404,0.0|1.0|0.0|0.0
203,Explainer: Chile attempts to block China from prize lithium asset,13/03/2018,"producer after U.S.-based Albemarle Corp, would control 70 percent it controls, is also in a joint venture with Albemarle in Australia",reuters,0.185|0.446|0.369|0.4404,0.0|1.0|0.0|0.0
204,EXPLAINER-Chile attempts to block China from prize lithium asset,13/03/2018,"U.S.-based Albemarle Corp, would control70 percent of the global, is alsoin a joint venture with Albemarle in Australia where",reuters,0.197|0.408|0.395|0.4404,0.0|1.0|0.0|0.0
205,BRIEF-Albemarle Receives Increase In Lithium Quota For Chile Operations,09/03/2018,March 9 (Reuters) - Albemarle Corp:* ALBEMARLE CORPORATION RECEIVES INCREASE IN LITHIUM QUOTAFORCHILE OPERATIONS* ALBEMARLE - CHILE'S,reuters,0.0|0.777|0.223|0.3182,0.0|0.811|0.189|0.4648
206,Chile approves increase in lithium quota for Albemarle,09/03/2018,"in U.S. miner Albemarle Corp's annual lithiumproduction limit of 60,000 to 80,000 tonnes peryear.Albemarle asked for the increase",reuters,0.0|0.545|0.455|0.6124,0.0|0.881|0.119|0.3182
207,BRIEF-Albemarle Says CEO's FY 2017 Total Compensation Was $8.5 Mln Vs $8.4 Mln In FY 2016‍​,08/03/2018,March 8 (Reuters) - Albemarle Corp:* ALBEMARLE CORP SAYS CEO LUTHER,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
208,"Tapping the lithium rush, Canadian miner stakes claims in Utah",02/03/2018,"only one active lithium operation, owned by Albemarle Corp in Nevada",reuters,0.0|1.0|0.0|0.0,0.0|0.787|0.213|0.4019
209,"Lithium glut? No way, say industry executives eyeing demand",27/02/2018,", including the world's two biggest producers, U.S.-based Albemarle Corp",reuters,0.346|0.654|0.0|-0.4019,0.0|1.0|0.0|0.0
210,"BRIEF-Guangdong Weihua, Unit Sign Lithium Supply Contract With Albemarle's China Subsidiary",27/02/2018,LITHIUM SUPPLY CONTRACT WITHALBEMARLECORP'S LITHIUM SUBSIDIARY IN CHINA,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
211,FMC plans $500 million IPO of lithium business on NYSE in the fall,26/02/2018,SQMa.SN> and U.S.-based Albemarle Corp  but ahead of newer,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
212,BRIEF-Albemarle ‍Declares Quarterly Dividend Of $0.335 Per Share​,23/02/2018,Feb 23 (Reuters) - Albemarle Corp:* ALBEMARLE CORPORATION RAISES DIVIDEND FOR 24TH CONSECUTIVEYEAR* ALBEMARLE CORP - ‍DECLARED,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
213,RPT-COLUMN-Why Tesla is turning to Chile for its lithium: Andy Home,07/02/2018,", Albemarle and SQM itself.The Chilean government was as slow as everyoneprojects and a green light for Albemarle to raiseproduction.SQM's",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
214,COLUMN-Why Tesla is turning to Chile for its lithium: Andy Home,07/02/2018,"of the ""lithium oligopoly"", namely FMC, Albemarle and SQM itself for Albemarle to raiseproduction.SQM's Chilean expansion plans, however",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
215,"BRIEF-Jennison Associates LLC Reports A 7.1 Pct Passive Stake In Albemarle Corp As Of Dec 31, 2017",05/02/2018,"Feb 5 (Reuters) - Albemarle Corp:* JENNISON ASSOCIATES LLC REPORTS A 7.1 PERCENT PASSIVESTAKE INALBEMARLE CORP AS OF DEC 31, 2017 - SEC",reuters,0.0|0.893|0.107|0.2023,0.0|1.0|0.0|0.0
216,"BRIEF-Prudential Financial Reports 7.3 Pct Passive Stake In Albemarle Corp As Of Dec 31, 2017",19/01/2018,"Jan 19 (Reuters) - Albemarle Corp:* PRUDENTIAL FINANCIAL,INC REPORTS A 7.3 PERCENT PASSIVESTAKE INALBEMARLE CORP AS OF DEC 31, 2017",reuters,0.0|0.886|0.114|0.2023,0.0|1.0|0.0|0.0
217,"BRIEF-Albemarle Announces Retirement Executive VP, Corporate Strategy & Investor Relations",18/01/2018,Jan 18 (Reuters) - Albemarle Corp:* ALBEMARLE ANNOUNCES RETIREMENT,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
218,Bolivia seeks investors to power up lagging lithium output,29/12/2017,doubt whether foreign industry heavyweights such as Albemarle,reuters,0.208|0.792|0.0|-0.2732,0.263|0.737|0.0|-0.3612
219,U.S. launches effort to reduce reliance on imports or critical minerals,21/12/2017,"development agency Corfo. Lithium producers SQM, Albemarle and FMC",reuters,0.187|0.813|0.0|-0.3182,0.0|1.0|0.0|0.0
220,BRIEF-Albemarle Enters Into Agreement To Sell Portion Of Performance Catalysts Solutions To W. R. Grace & Co,14/12/2017,Dec 14 (Reuters) - W. R. Grace & Co:* ALBEMARLE ENTERS. R. GRACE & CO.* ALBEMARLE - W.R. GRACE TO ASSUME LEASE & OPERATIONS,reuters,0.0|0.628|0.372|0.7717,0.0|0.619|0.381|0.871
221,BRIEF-Grace To Acquire Polyolefin Catalysts Business,14/12/2017,BUSINESS OF ALBEMARLESource text for Eikon:Further company coverage:,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
222,Chile politics put Potash in tight spot on SQM stake sale,14/12/2017,"miner Rio Tinto Plc, U.S. lithium producer Albemarle Corp and Chinese",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
223,Investors wean themselves off oil as electric future beckons,06/12/2017,"Robinson has bought into Albemarle, Nemaska Lithium, Umicore",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
224,BASF in talks to combine oil unit with Fridman's DEA,24/11/2017,"business for 1.6 billion euros. In 2016, it bought Albemarle Corp's",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
225,BRIEF-Albemarle posts Q3 earnings per share $1.06,08/11/2017,Nov 8 (Reuters) - Albemarle Corp* Albemarle continues double digit,reuters,0.0|0.732|0.268|0.296,0.0|1.0|0.0|0.0
226,Two North Carolina prison employees killed during escape attempt,13/10/2017,Albemarle Medical Center in Elizabeth City. Four inmates were treated,reuters,0.503|0.387|0.11|-0.7964,0.0|1.0|0.0|0.0
227,Chile sees no obstacle to Albemarle request to hike lithium output cap,28/09/2017,""" to Albemarle Corp's request for anincrease in its annual lithium. Albemarle had requested the quota hike last week, citingtechnological",reuters,0.32|0.68|0.0|-0.5719,0.0|1.0|0.0|0.0
228,Albemarle asks Chile to raise lithium production limit,15/09/2017,"SANTIAGO, Sept 15 (Reuters) - Albemarle Corp hasasked Chile.""With the understanding that this new technology iscommercially viable, Albemarle",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
229,At least one dead as white nationalists ignite Virginia clashes,13/08/2017,"-degree murder, said Martin Kumer, Albemarle Charlottesville's regional",reuters,0.323|0.677|0.0|-0.6486,0.402|0.598|0.0|-0.6908
230,Two Virginia policemen killed in helicopter crash linked to clashes,12/08/2017,", Virginia, died at the scene of the crash in Albemarle County, the state",reuters,0.474|0.526|0.0|-0.802,0.364|0.636|0.0|-0.743
231,Chile short-lists seven companies for value-added lithium projects,08/08/2017,"-based supplier Albemarle Corp.On Tuesday, the government said Russia's",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
232,BRIEF-Albemarle Q2 earnings per share $0.92,07/08/2017,Aug 7 (Reuters) - Albemarle Corp:* Albemarle growth story continues per share view $1.11 -- Thomson ReutersI/B/E/S* Albemarle Corp - ‍we,reuters,0.0|0.694|0.306|0.296,0.0|0.769|0.231|0.5859
233,Lithium processors prepare to meet demand in era of electric car,07/08/2017,"FMC and U.S.-listed Albemarle , another of the top four estimates FMC, Albemarle",reuters,0.13|0.87|0.0|-0.128,0.0|0.859|0.141|0.2023
234,REFILE-Lithium processors prepare to meet demand in era of electric car,07/08/2017,"Albemarle,another of the top four producers.""We estimate.Roskill managing director Robert Baylis estimates FMC,Albemarle, SQM",reuters,0.13|0.87|0.0|-0.128,0.0|0.878|0.122|0.2023
235,Lithium supply pipeline is filling but will it be enough? Andy Home,20/07/2017,"Corp, Albemarle and Chile's SQM, is meanwhile flexing its collective",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
236,CORRECTED-RPT-COLUMN-Lithium supply pipeline is filling but will it be enough? Andy Home,20/07/2017,"months.The existing oligopoly, comprising FMC Corp,Albemarle",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
237,CORRECTED-COLUMN-Lithium supply pipeline is filling but will it be enough? Andy Home,20/07/2017,"months.The existing oligopoly, comprising FMC Corp,Albemarle",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
